T0,Controller,RMSE_T4,IAE,Objective,Objective_Scaled,SettlingTime,SettlingIndex,SettlingFound,TransientLength,IAE_Transient,ISE_Transient,ITAE_Transient,RMSE_Transient,PeakDeviation,Overshoot,Undershoot,TVu_Transient,DeltaUMax_Transient,ControlEnergy_Transient
45,Koopman,3.82447365349923,567.880743695014,1985102.47199652,1113.31393042974,98,99,1,99,494.744209970674,4355.08441784048,13592.0264058651,6.63255242688351,18.6471096774194,0,18.6471096774194,44.4407556259989,6.97428448951977,916251.022642781
45,Strejc,4.15528835738763,633.62071085044,1888077.71164833,1256.32076626406,183,184,1,184,587.322348387097,5158.01016517087,21129.4948340176,5.2945881748391,18.9403648093842,0.267846334310853,18.9403648093842,176.006458084406,8.1081413834247,1294942.46421134
50,Koopman,2.71337257467821,329.879293841642,1690532.98377747,589.787427986017,75,76,1,76,302.664206451613,2201.43681167929,5985.17167155425,5.38203250063444,14.1016551319648,0,14.1016551319648,31.9972608027199,3.25779015351868,671549.641926073
50,Strejc,2.30299111937314,321.061557771261,1630781.04913658,394.685937828051,159,160,1,160,247.027284457478,1545.65408426465,8807.51075659821,3.10810843225491,13.6617724340176,0,13.6617724340176,196.543245178519,9.27428773540781,928620.33384447
55,Koopman,2.0039758038109,272.464753079179,1603271.01921046,365.858046432367,63,64,1,64,225.81971143695,1188.47525698051,4286.70800703812,4.3092836864519,9.11631788856305,0,9.11631788856305,39.1233162165484,5.95763388766852,573012.872548174
55,Strejc,1.87237891626723,296.91300175953,1641145.31895341,316.177205847665,63,64,1,64,208.077775953079,1013.06105139233,4025.12442932551,3.97857750056538,8.67643519061583,0,8.67643519061583,85.6979429902398,8.57888501251209,540735.876607654
58,Koopman,1.25898222114287,172.002181818181,1604496.65085908,185.066036655864,56,57,1,57,134.586131378299,465.518929267546,2333.80757302052,2.8577961367249,5.89051143695015,0,5.89051143695015,42.7363003527445,3.70204775608026,483789.117380393
58,Strejc,1.47123734034181,256.003910850439,1620447.44341797,225.116546378914,69,70,1,70,172.013219941349,611.352601610884,3686.58218768328,2.95526793953462,6.03713900293255,0,6.03713900293255,55.3263530282041,4.90194572803708,554645.817040903
60,Koopman,0.69264460772452,128.336293255131,1569059.46309363,74.8414931505169,49,50,1,50,61.2411143695013,120.962388966108,965.289999999996,1.55539312693677,3.69109794721408,0,3.69109794721408,63.2466342197072,6.30796425610282,346056.119319014
60,Strejc,0.722649758905081,147.939394721407,1453811.0644882,59.0775682766353,51,52,1,52,52.0543953079178,109.464933867293,723.574763636361,1.45089451100462,3.69109794721408,0,3.69109794721408,76.2110771997485,10.515981056758,300265.508331857
62,Koopman,0.597319496666829,159.421337243401,1654533.70456925,73.1875907091819,70,71,1,71,52.2439073313781,48.1453157415444,1558.44878005864,0.82347012004887,1.93156715542521,0,1.93156715542521,80.3445481842379,5.40522820274835,434112.842897789
62,Strejc,0.797290039535968,225.071319648093,1597844.84123989,74.6053108000591,NaN,NaN,0,300,225.071319648093,190.70142214298,31304.5405865101,0.797290039535968,2.22482228739003,0,2.22482228739003,401.033498259206,8.59315403881939,1595937.82701846
66,Koopman,0.593596909086971,134.624799999999,1378790.84173044,64.6296782221667,65,66,1,66,53.3083565982405,63.0587949932126,1280.10223460411,0.977464213041045,2.17400469208211,2.17400469208211,0,130.186142189805,33.0142089587216,208286.250898651
66,Strejc,0.690457868135078,182.049581231671,1399072.29174707,64.8604387849784,45,46,1,46,34.072628739003,43.3906459701806,535.422058651028,0.9712234101355,2.46725982404693,2.46725982404693,0.0254087976539594,91.6088740176422,9.53454869475409,134694.284515745
68,Koopman,0.921870066884655,203.834620527859,1510314.80873812,141.716912864297,60,61,1,61,70.0217912023461,155.847554643226,1313.91207272727,1.59839855635912,4.08016304985338,4.08016304985338,1.05180175953079,203.027909901084,37.5825933220172,188203.573154951
68,Strejc,1.00886314531168,248.825982404692,1416322.17113075,143.655714354758,61,62,1,62,71.1519272727273,142.71377278572,1516.32146510264,1.51717996458264,4.08016304985338,4.08016304985338,0,108.677597284201,8.97009954350165,155649.735520215
