T0,Controller,SettlingTime,SettlingIndex,SettlingFound,TransientLength,IAE_Transient_Norm,ISE_Transient_Norm,ITAE_Transient_Norm,RMSE_Transient,PeakDeviation,Overshoot,Undershoot,TVu_Transient_Norm,DeltaUMax_Transient,ControlEnergy_Transient_Norm,ObjectiveScaled_Transient_Norm
45,Koopman,88,89,1,89,5.46545624567531,48.8430985297853,143.96124387624,6.98878376613451,18.6471096774194,0,18.6471096774194,0.235820561601919,2.36073404845772,9594.87999894618,12.2202711236027
45,Strejc,84,85,1,85,6.26484298775229,60.2771880273117,163.830667862688,7.76383848539572,18.9403648093842,0,18.9403648093842,0.39872105386053,6.2572823356257,9478.11359621429,14.5556364140574
50,Koopman,59,60,1,60,4.89344398826979,36.5967573936759,89.7524920821114,6.04952538581961,14.1016551319648,0,14.1016551319648,0.3102279517416,3.25779015351868,9687.86293216974,9.70714826895519
50,Strejc,38,39,1,39,4.37911960297767,38.2619259228731,40.4707361756522,6.1856225170045,13.6617724340176,0,13.6617724340176,1.02836548024328,5.42973693452265,8015.99186477798,9.21286217180681
55,Koopman,47,48,1,48,4.43034525904203,24.4886327674113,74.6073706744868,4.94859907119291,9.11631788856305,0,9.11631788856305,0.31704042077473,5.95763388766852,9839.13861373062,7.25449256211545
55,Strejc,51,52,1,52,3.7982488608166,19.2807477071495,65.826697180239,4.39098482201311,8.67643519061583,0,8.67643519061583,0.860965226450693,8.57888501251209,9111.72505024247,5.77363049086479
58,Koopman,41,42,1,42,2.9405044546851,10.8653320541556,42.9590873062421,3.29626031346973,5.89051143695015,0,5.89051143695015,0.533005113408996,3.3989976457989,9359.02461010889,4.13200618875662
58,Strejc,47,48,1,48,3.22983206256109,12.4330642666818,56.8043403714564,3.52605505723915,6.03713900293255,0,6.03713900293255,0.627296007615884,4.90194572803708,9094.96339709168,4.3250927571048
60,Koopman,13,14,1,14,2.48665722664432,7.12999691976643,12.31429836615,2.67020540778541,3.69109794721408,0,3.69109794721408,1.26359387058049,4.37689318697072,9305.23036488745,3.32434985517237
60,Strejc,13,14,1,14,2.47618382907415,7.2231417032773,12.0943570171764,2.68759031537124,3.69109794721408,0,3.69109794721408,2.70462402934766,10.515981056758,8487.86821140336,2.94625507386773
62,Koopman,9,10,1,10,1.46235894428152,2.27953134069503,5.55422228739001,1.50981169047502,1.93156715542521,0,1.93156715542521,1.96911385170528,5.07921349414522,8612.31737885051,1.93358280898584
62,Strejc,14,15,1,15,1.52100997067448,2.4430425133429,9.26877067448678,1.56302351656746,2.22482228739003,0,2.22482228739003,2.4514019260002,5.85942750277775,6902.77433342143,1.10728567111095
66,Koopman,10,11,1,11,1.90740911756865,3.77822374647383,8.76391842175419,1.94376535273006,2.17400469208211,2.17400469208211,0,7.26365382494449,33.0142089587216,2890.5299609341,2.16747869922265
66,Strejc,8,9,1,9,1.81558175301401,3.64563994542554,5.89380306288694,1.90935589805189,2.46725982404693,2.46725982404693,0,2.79849049616605,5.61394222065863,1599.25806342074,2.20503573692898
68,Koopman,11,12,1,12,3.02933216031281,10.5092339977643,13.1056084066471,3.2417948728697,4.08016304985338,4.08016304985338,0,8.71228766846358,37.5825933220172,1703.58733380856,4.9443523693738
68,Strejc,10,11,1,11,2.89381274326846,9.8418137803338,10.8833532391362,3.13716652097618,4.08016304985338,4.08016304985338,0,3.00237452044425,8.97009954350165,986.814218797149,4.90830678406107
