T0,Controller,SettlingTime,SettlingIndex,SettlingFound,TransientLength,IAE_Transient,ISE_Transient,ITAE_Transient,RMSE_Transient,PeakDeviation,Overshoot,Undershoot,TVu_Transient,DeltaUMax_Transient,ControlEnergy_Transient,ObjectiveScaled_Transient
55,Koopman,98,99,1,99,494.744209970674,4355.08441784048,13592.0264058651,6.63255242688351,18.6471096774194,0,18.6471096774194,44.4407556259989,6.97428448951977,916251.022642781,1092.71015221074
55,Strejc,96,97,1,97,542.933861583578,5133.56420917651,14857.5995495601,7.27484311601593,18.9403648093842,0,18.9403648093842,50.7189891165465,6.2572823356257,872330.395205863,1241.30281127584
58,Koopman,67,68,1,68,299.235129618768,2199.93474122394,5740.43256070381,5.68788022804518,14.1016551319648,0,14.1016551319648,27.4634298177322,3.25779015351868,629252.007489692,585.38846732152
58,Strejc,47,48,1,48,179.225487390029,1500.76505712639,1937.75203284457,5.59159536180266,13.6617724340176,0,13.6617724340176,62.1337537253036,8.09988880584434,363868.383938242,362.802232406527
60,Koopman,60,61,1,61,224.570464516129,1187.94071792871,4209.40132551319,4.41298515733187,9.11631788856305,0,9.11631788856305,37.3413214444197,5.95763388766852,557197.953456166,356.784863507587
60,Strejc,63,64,1,64,208.077775953079,1013.06105139233,4025.12442932551,3.97857750056538,8.67643519061583,0,8.67643519061583,85.6979429902398,8.57888501251209,540735.876607654,304.440444627428
62,Koopman,54,55,1,55,133.802175953079,465.200886391627,2290.37136070381,2.9082981164924,5.89051143695015,0,5.89051143695015,40.6006298268512,3.70204775608026,473235.727129539,179.518431935801
62,Strejc,64,65,1,65,169.833390029325,610.342070921117,3541.12009384164,3.06429078485888,6.03713900293255,0,6.03713900293255,47.9080957189247,4.90194572803708,530935.419315632,213.042401001523
66,Koopman,39,40,1,40,55.268551319648,116.730899055687,702.956692082108,1.70829519591673,3.69109794721408,0,3.69109794721408,45.1559418699581,6.0658641947351,289508.093496996,57.8598289474617
66,Strejc,15,16,1,16,35.7437841642228,101.71492495969,184.867237536657,2.52134543646456,3.69109794721408,0,3.69109794721408,43.0717270246847,10.515981056758,128787.660028487,41.4598421090845
68,Koopman,11,12,1,12,15.8474275659824,23.5872025690208,68.2458956011728,1.40199864981571,1.93156715542521,0,1.93156715542521,24.3286490273107,5.07921349414522,98032.315176642,19.99724453216
68,Strejc,73,74,1,74,71.2350897360701,77.8104886888192,2171.85496891495,1.02542337129083,2.22482228739003,0,2.22482228739003,96.4816647539999,5.85942750277775,424893.445816223,32.695212919929
